fname|hd_leaves|hd_pages|hd_type|hd_script|div_rend|div_rendition|div_type
d1940XXXX_kantorowicz_roditi.xml|1 Bl.|2 S.|lt|ms|ms|1 Bl., 2 S.|lt
d19410504_kantorowicz_flexner.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19410614_kantorowicz_cross.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19410725_kantorowicz_hczimmer.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19410906_kantorowicz_saxl.xml|1 Bl.|2 S.|lt|ts|ts;1 Bl., 2 S.||lt
d19411018_kantorowicz_ssalz.xml|2 Bl.|3 S.|lt|ts|ts|2 Bl., 3 S.|lt
d19411023_kantorowicz_ssalz.xml|2 Bl.|3 S.|lt|ts|ts|2 Bl., 3 S.|lt
d19411115_kantorowicz_saxl.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d194111XX_kantorowicz_ssalz.xml|1 Bl.|2 S.|lt|ts|ts|1 Bl., 2 S.|lt
d19411203_kantorowicz_ssalz.xml|2 Bl.|3 S.|lt|ts|ts|2 Bl., 3 S.|lt
d19411215_kantorowicz_riezler.xml|1 Bl.|1 S.|lt|ts|ts|1 Bl., 1 S.|lt
d1941xxxx_kantorowicz_bolton.xml|1 Bl.|1 S.|x|ms|ms;1 Bl., 1 S.||x
d19420615_kantorowicz_flexner.xml|3 Bl.|3 S.|lt|ts|ts;3 Bl., 3 S.||lt
d19420729_kantorowicz_wittkower.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19420821_kantorowicz_duggan.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
